,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,value_per_m
420,Rhys,Williams,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39,DEF,0.0
421,Calvin,Ramsay,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39,DEF,0.0
422,Mohamed,Salah,2,2,30,450,5,106.2,127.0,128.0,2,105,36.1,2,0,0,50.9,145,MID,2.1
423,Florian,Wirtz,0,0,10,363,3,138.1,39.2,80.0,0,47,25.7,2,0,1,13.6,82,MID,1.2
424,Luis,Díaz Marulanda,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,80,MID,0.0
425,Cody,Gakpo,1,2,25,420,5,137.4,112.4,118.0,2,97,36.8,2,0,0,16.5,77,MID,3.2
426,Federico,Chiesa,1,0,9,47,1,1.3,36.6,27.0,0,32,6.4,0,0,0,0.3,64,MID,1.4
427,Alexis,Mac Allister,0,1,11,236,2,45.2,41.6,21.0,0,57,10.8,1,0,0,1.4,64,MID,1.7
428,Dominik,Szoboszlai,1,0,21,450,5,83.5,103.6,69.0,3,99,25.7,2,0,1,3.9,65,MID,3.2
429,Curtis,Jones,0,1,8,166,3,35.0,30.4,0.0,0,43,6.5,0,0,0,0.1,54,MID,1.5
430,Ryan,Gravenberch,2,1,27,360,3,91.9,135.4,37.0,4,108,26.5,2,0,2,2.8,56,MID,4.8
431,Endo,Wataru,0,1,5,32,2,10.7,24.6,0.0,0,16,3.5,0,0,1,0.1,49,MID,1.0
432,Stefan,Bajčetić Maquieira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,MID,0.0
433,James,McConnell,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,MID,0.0
434,Tyler,Morton,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
435,Trey,Nyoni,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,44,MID,0.0
436,Darwin,Núñez Ribeiro,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,65,FWD,0.0
437,Jayden,Danns,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,FWD,0.0
438,Alexander,Isak,0,0,1,23,0,0.3,2.4,4.0,0,5,0.7,0,0,0,10.5,105,FWD,0.1
439,Hugo,Ekitiké,3,1,32,365,3,51.8,147.8,95.0,7,120,29.4,2,0,0,25.9,87,FWD,3.7
440,Rio,Ngumoha,1,0,7,4,0,11.4,36.2,23.0,0,31,7.1,0,0,0,0.6,45,MID,1.6
441,Giovanni,Leoni,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,DEF,0.0
442,James,Trafford,0,0,11,270,4,0.0,100.2,0.0,0,62,10.1,1,0,0,1.6,49,GK,2.2
443,Ederson,Santana de Moraes,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.2,53,GK,0.0
444,Stefan,Ortega Moreno,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,49,GK,0.0
445,Marcus,Bettinelli,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,GK,0.0
446,Rayan,Aït-Nouri,0,0,10,202,2,26.7,43.0,7.0,1,34,7.6,1,0,1,8.4,59,DEF,1.7
447,Joško,Gvardiol,0,0,10,180,1,1.5,39.2,0.0,0,38,4.0,1,0,0,4.0,58,DEF,1.7
448,Manuel,Akanji,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,54,DEF,0.0
449,Nathan,Aké,0,0,3,91,3,10.3,18.2,5.0,0,13,3.4,0,0,0,0.7,54,DEF,0.6
450,Abdukodir,Khusanov,0,0,11,227,1,5.2,42.4,0.0,0,46,4.8,1,0,1,0.4,54,DEF,2.0
451,Matheus,Nunes,0,0,4,153,2,7.3,26.0,0.0,0,17,3.3,0,0,0,0.3,53,DEF,0.8
452,Rúben,dos Santos Gato Alves Dias,0,0,16,365,4,5.0,68.4,2.0,0,60,7.6,2,0,0,4.2,55,DEF,2.9
453,John,Stones,0,0,9,264,5,5.8,53.8,2.0,0,43,6.2,1,0,0,0.8,55,DEF,1.6
